name,description,link
8 東中野～上高田コース（中級）,中野区,data/131148_Higashi-Nakano_-_Kamitakada_Course_(Intermediate).kml
9 平和の森公園～江古田の森公園コース（初級）,中野区,data/131148_Heiwa-no-Mori_Park_-__Egota-no-Mori_Park_Course_(Beginners).kml
10 妙正寺川コース（上級）,中野区,data/131148_Myoshoji_River_Course_(Advanced).kml
11 鷺ノ宮駅～野方駅コース（中級）,中野区,data/131148_Saginomiya_Sta_-__Nogata_Sta_Course(Intermediate).kml
12 双鷺公園～白鷺せせらぎ公園コース（初級）＜メインルート＞,中野区,data/131148_Souro_Park_-_Shirasagi_Seseragi_Park_Course(Beginners)_Main_route.kml
千早長崎コース,豊島区,data/131164_Chihaya_Nagasaki_Course.kml
巣鴨南コース ,豊島区,data/131164_Sugamo-minami_South_Course.kml
巣鴨東コース,豊島区,data/131164_Sugamo-higashi_East_Course.kml
椎名町駅周辺コース,豊島区,data/131164_Shiinamachi_Sta_Area_Course.kml
池袋大回りコース,豊島区,data/131164_Long_Ikebukuro_Tour_Course.kml
駒込コース,豊島区,data/131164_Komagome_Course.kml
鬼子母神探索コース,豊島区,data/131164_Find_Kishimojin_Course.kml
東十条～王子神谷～豊島～堀船～荒川遊園,北区,data/131172_Higashi_Jujo_-_Oji-Kamiya_-_Toshima_-_Horifune_-_Arakawa_Yuen_park.kml
浮間舟渡～北赤羽～赤羽,北区,data/131172_Ukima-Funado_-_Kita-Akabane_-_Akabane.kml
王子～板橋,北区,data/131172_Oji_-_Itabashi.kml
荒川遊園～田端～西ヶ原～王子,北区,data/131172_Arakawa_Yuen_park_-_Tabata_-_Nishigahara_-_Oji.kml
赤羽～十条～王子,北区,data/131172_Akabane_-_Jujo_-_Oji.kml
赤羽～志茂～岩淵～赤羽,北区,data/131172_Akabane_-_Shimo_-_Iwabuchi_-_Akabane.kml
コミュニティバス｢さくら｣コース,荒川区,data/131181_Arakawa_City_Community_Bus_Sakura_Route.kml
チャレンジコース,荒川区,data/131181_Challenging_Route.kml
千代田線コース,荒川区,data/131181_Chiyoda_Line_Route.kml
尾久の原公園ルート,荒川区,data/131181_Ogunohara_Park_Route.kml
常磐線コース,荒川区,data/131181_Joban_Line_Route.kml
新しい街並み散策ルート,荒川区,data/131181_Walking_Route_through_Recently_Developed_Streetscapes.kml
日暮里・舎人ライナーコース,荒川区,data/131181_Nippori-Toneri_Liner_Route.kml
明治通り沿い都営バスコース,荒川区,data/131181_Toei_Bus_Route_along_Meiji-Dori_(Ave).kml
歴史と文化のルート,荒川区,data/131181_Historical_and_Cultural_Route.kml
汐入ぐるっとコース,荒川区,data/131181_Shioiri_District_Walking_Tour_Route.kml
都電とバラの花ルート(往復),荒川区,data/131181_Toden_and_Rose_Flower_Route_(Round_Trip).kml
隅田川の川沿い散策ルート(往復),荒川区,data/131181_Sumida_Riverside_Walking_Route_(Round_Trip).kml
光が丘駅～地下鉄赤塚駅コース,練馬区,data/131202_Hikarigaoka_Sta_-_Chikatetsu-Akatsuka_Sta_Course.kml
光が丘駅～田柄 周回コース,練馬区,data/131202_Hikarigaoka_Sta_-_Tagara_Area_Course.kml
平和台駅～光が丘美術館コース,練馬区,data/131202_Heiwadai_Sta_-_Hikarigaoka_Museum_of_Art_Course.kml
平和台駅～地下鉄赤塚駅コース,練馬区,data/131202_Heiwadai_Sta_-_Chikatetsu-Akatsuka_Sta_Course.kml
公園めぐり松の風コース,練馬区,data/131202_Park_Tour_-_Matsunokaze_Park_Course.kml
白子川カタクリの花コース,練馬区,data/131202_Shirako-gawa_River_Dogtooth_Violet_Course.kml
練馬のはしっこ陽だまりコース,練馬区,data/131202_Sunny_Nerima_Outskirts_Course.kml
中川沿いエリア,葛飾区,data/131229_Area_alongside_Nakagawa_River.kml
亀有・お花茶屋エリア,葛飾区,data/131229_Kameari_and_Ohanajaya_Area.kml
亀有・綾瀬エリア,葛飾区,data/131229_Kameari_and_Ayase_Area.kml
亀有・青戸エリア,葛飾区,data/131229_Kameari_and_Aoto_Area.kml
堀切・お花茶屋エリア,葛飾区,data/131229_Horikiri_and_Ohanajaya_Area.kml
小菅エリア,葛飾区,data/131229_Kosuge_Area.kml
新小岩エリア,葛飾区,data/131229_Shin-Koiwa_Area.kml
東金町エリア,葛飾区,data/131229_Higashi-Kanamachi_Area.kml
柴又エリア～七福神めぐり～,葛飾区,data/131229_Shibamata_Area_-_Shichifukujin_(seven_gods_of_good_fortune)_Tour_-.kml
柴又観光コース,葛飾区,data/131229_Shibamata_Sightseeing_Route.kml
水元エリア,葛飾区,data/131229_Mizumoto_Area.kml
水元・柴又エリア～寅さんの柴又帝釈天と水元公園へのみち～,葛飾区,data/131229_Mizumoto_and_Shibamata_Area_-_Tora-sans_Road_to_Shibamata_Taishakuten_and_Mizumoto_Park.kml
立石・四つ木エリア,葛飾区,data/131229_Tateishi_and_Yotsugi_Area.kml
立石・新小岩エリア,葛飾区,data/131229_Tateishi_and_Shin-Koiwa_Area.kml
細田・新小岩エリア,葛飾区,data/131229_Hosoda_and_Shin-Koiwa_Area.kml
西水元エリア,葛飾区,data/131229_Nishi-Mizumoto_Area.kml
金町・亀有エリア,葛飾区,data/131229_Kanamachi_and_Kameari_Area.kml
金町・青戸エリア,葛飾区,data/131229_Kanamachi_and_Aoto_Area.kml
金町・高砂エリア,葛飾区,data/131229_Kanamachi_and_Takasago_Area.kml
高砂・奥戸エリア,葛飾区,data/131229_Takasago_and_Okudo_Area.kml
安全・安心コース,葛飾区,data/131229_Safe_and_Reassured_Route.kml
健脚コース,葛飾区,data/131229_Route_for_Strong_Walkers.kml
超健脚コース,葛飾区,data/131229_Route_for_Very_Strong_Walkers.kml
Aコース 柴崎体育館～水辺、普濟寺を歩く,立川市,data/132021_Course_A_Walking_the_Shibasaki_Gymnasium_Water_sides_and_Fusai-jia_Temple.kml
Bコース 武蔵砂川駅～緑の中を立川市役所へ,立川市,data/132021_Course_B_Visiting_Musashi-Sunagawa_Sta._to_Tachikawa_City_Hall_in_Nature.kml
Cコース 玉川上水駅～阿豆佐味天神社～古民家園を歩く,立川市,data/132021_Course_C_Visiting_Tamagawa-Josui_Sta._Azusamiten-jinja_Shrine_and_Old_Private_Residences.kml
三鷹駅Aコース　おすすめ遊歩道をたどり武蔵野中央公園へ,武蔵野市,data/132039_Mitaka_Sta._Route_AWalk_along_the_recommended_pedestrian_walkway_to_visit_Musashino-Chuo_Park.kml
三鷹駅Bコース　戦争の跡地を訪ねて,武蔵野市,data/132039_Mitaka_Sta._Route_BVisit_war_sites.kml
吉祥寺駅Aコース　水と緑が心を癒す 井の頭恩賜公園を満喫,武蔵野市,data/132039_Kichijoji_Sta.Route_A_Enjoy_the_healing_water_and_green_foliage_at_Inokashira_Park.kml
吉祥寺駅Bコース　武蔵野七福神めぐりを歩こう,武蔵野市,data/132039_Kichijoji_Sta.Route_B_Take_a_walking_tour_of_Musashino_Shichifukujin(seven_gods_of_good_fortune).kml
武蔵境駅Aコース　身近な自然に親しむ公園めぐり,武蔵野市,data/132039_Musashi-Sakai_Sta._Route_A_Walking_tour_of_parks_with_nature_near_the_town.kml
武蔵境駅Bコース　武蔵野の豊かな緑と歴史を訪ね歩こう,武蔵野市,data/132039_Musashi-Sakai_Sta._Route_B_Walking_tour_to_enjoy_abundant_greenery_and_study_the_history_of_Musashino.kml
四谷体育館コース～府中多摩川かぜのみち四谷を歩く～(メインコース) ,府中市,data/132063_Yotsuya_Gymnasium_Course_Walk_Fuchu_Tamagawa_Kaze-no-michi_Walking_Path_Yotsuya_Main_Course.kml
押立体育館コース ～いききの道と多摩川のいにしえをめぐる～(メインコース),府中市,data/132063_Oshitate_Gymnasium_Course_Tour_visiting_old_times_of_Ikiki-no-michi_and_Tama-gawa_River_Main_Course.kml
日吉体育館コース ～府中の歴史を感じよう～(ショートコース),府中市,data/132063_Hiyoshi_Gymnasium_Course_Experience_the_History_of_Fuchu_Short_Course.kml
日吉体育館コース ～府中の歴史を感じよう～(メインコース),府中市,data/132063_Hiyoshi_Gymnasium_Course_Experience_the_History_of_Fuchu_Main_Course.kml
本宿体育館コース～豊かな緑が途切れなく続く散策路～(メインコース) ,府中市,data/132063_Honshuku_Gymnasium_Course_A_Walking_Path_of_Abundant_Uninterrupted_Green_Space_Main_Course.kml
栄町体育館コース ～豊かな学生のまち栄路を歩こう～(メインコース),府中市,data/132063_Sakaecho_Gymnasium_Course_Walk_the_Rich_College_Town_of_Sakaecho_Main_Course.kml
白糸台体育館コース ～浅間山の緑と武蔵野の小径～(メインコース),府中市,data/132063_Shiraitodai_Gymnasium_Course_The_Greens_of_Mt.Sengen_and_Paths_in_Musashino_Main_Course.kml
総合体育館コース～郷土の森と自然あふれる散歩道～(メインコース),府中市,data/132063_General_Gymnasium_Course_Local_Forest_and_Nature_Walking_Path_Main_Course.kml
ROUTE1 上水・用水コース,小平市,data/132110_ROUTE1_AqueductIrrigation_canal_course.kml
ROUTE2 カルチャーコース,小平市,data/132110_ROUTE2_Culture_course.kml
ROUTE3 街道コース,小平市,data/132110_ROUTE3_Kaido_(Highway)_course.kml
ROUTE4 遺跡コース,小平市,data/132110_ROUTE4_Archeological_site_course.kml
ROUTE5 小平ふるさとコース,小平市,data/132110_ROUTE5_Kodaira_Furusato_course.kml
かたらいの路コース～多摩丘陵の尾根のさんぽ道～,日野市,data/132128_Katarai_path_Course_Walkway_of_Tama-kyuryo_hill_ridge.kml
さくらコース～贅沢な桜並木のはしごコース～,日野市,data/132128_Cherry_blossom_Course_Walk_along_the_rows_of_cherry_blossom_trees.kml
ひの煉瓦コース～ひの煉瓦の歴史を訪ねる～,日野市,data/132128_Hino_brick_Course_Visit_Hinos_historical_brick_sites.kml
七生丘陵散策路東コース～起伏に富んだ自然ハイキングコース～,日野市,data/132128_Nanao-kyuryo_East_Course_Try_a_rugged_nature_hike.kml
七生丘陵散策路西コース～丘陵の季節を味わう～,日野市,data/132128_Nanao-kyuryo_West_Course_Enjoy_the_seasons_of_the_hills.kml
南平丘陵散策・かたらいの路コース～多摩丘陵の尾根のさんぽ道～,日野市,data/132128_Minamidaira-kyuryoKatarai_path_Course_Walkway_of_Tama-kyuryo_hill_ridge.kml
多摩川を歩こう!コース～多摩川の魅力あふれる自然にふれる～ 上級コース,日野市,data/132128_Lets_walk_the_Tama-gawa_River_Course_Experience_the_charm_of_nature_Advanced_course.kml
多摩川を歩こう!コース～多摩川の魅力あふれる自然にふれる～ 中級コース,日野市,data/132128_Lets_walk_the_Tama-gawa_River_Course_Experience_the_charm_of_nature_Intermediate_course.kml
多摩川を歩こう!コース～多摩川の魅力あふれる自然にふれる～ 初級コース,日野市,data/132128_Lets_walk_the_Tama-gawa_River_Course_Experience_the_charm_of_nature_Beginner_course.kml
新選組コース～新選組ゆかりの地を巡る～,日野市,data/132128_Shinsengumi_Course_Visit_places_associated_with_the_Shinsengumi.kml
日野の原風景コース～農の風景との出会いに四季の移ろいを感じる～,日野市,data/132128_Original_Hino_landscape_Course_feel_the_change_of_seasons_by_the_scenery_of_the_farms.kml
東光寺散策東コース～日野の農園を巡る Part1 ～,日野市,data/132128_Tokoji_Temple_East_Course_Visit_the_farms_in_Hino_PART_1.kml
東光寺散策西コース～日野の農園を巡る Part2 ～,日野市,data/132128_Tokoji_Temple_West_Course_Visit_the_farms_in_Hino_PART_2.kml
水と緑の公園コース～水都日野の清流と緑を巡る～,日野市,data/132128_Parks_with_greenery_and_river_Course_Visit_the_clear_streams_and_greenery_of_the_water_capital_Hino.kml
浅川を歩こう!コース～市の鳥カワセミとの出会いを求めて～ 上級コース,日野市,data/132128_Lets_walk_the_Asakawa_River_Course_In_search_of_the_official_city_bird_the_kingfisher_Advanced.kml
浅川を歩こう!コース～市の鳥カワセミとの出会いを求めて～ 中級コース,日野市,data/132128_Lets_walk_the_Asakawa_River_Course_In_search_of_the_official_city_bird_the_kingfisher_Intermediat.kml
浅川を歩こう!コース～市の鳥カワセミとの出会いを求めて～ 初級コース,日野市,data/132128_Lets_walk_the_Asakawa_River_Course_In_search_of_the_official_city_bird_the_kingfisher_Beginner.kml
百草周遊・倉沢緑地コース～百草倉沢の自然・文化を巡る～,日野市,data/132128_Mogusa_tourKurasawa_Ryokuchi_Course_Enjoy_the_nature_and_culture_of_Mogusa-Kurasawa.kml
緑と黄葉のいちょうコース～いちょう並木満喫コース～,日野市,data/132128_Green_and_yellow_ginkgo_Course_Enjoy_the_rows_of_ginkgo_trees.kml
No.1 北の街 市境散歩,国立市,data/132152_No1_Northern_Kunitachi_A_walk_along_the_city_boundary.kml
No.2 一橋大学と大学通りの魅力再発見,国立市,data/132152_No2_Rediscover_the_attraction_of_Hitotsubashi_University_and_Daigaku-dori_Ave..kml
