name,description,lat,lng
スタート,,35.7066344,139.6838129
東中野駅,"<img src=""https://lh5.googleusercontent.com/Z6Jv5RO5l0q2vY2Zs06fsUNvGQQEofsLFlCxW2qP6xoTw5lUzUd7hb6NFnLlwWTuMEtPEnsF68hP801j8Q9KAnpYEGClWWR3T_6YEUHH6serdNGUo8oB_HJE83l0TqQ"" height=""200"" width=""auto"" /><br><br>",35.7062206,139.6838397
上高田台公園,"<img src=""https://lh4.googleusercontent.com/IRPxOr8Tr1cwldYHNHXtVmWgdUTJrIKnu7OCnEbgHscmVwrY-GZlByw6_UY5WNeoL25k_QeKhZu6HUDrqWNLPAkNZ706yf96snjdJDZRwFIrTH5ktL6MLC1vcmO3VDA_"" height=""200"" width=""auto"" /><br><br>ターザンロープのついた大きな木製遊具のある広場があります。This park has an open area and large wooden playground equipment with a Tarzan rope.",35.7132727,139.6784645
「たきび」の歌発祥の地,"<img src=""https://lh6.googleusercontent.com/KYxvEz4LLK4I2tdCGVpst_TH2WUY8BZdb6ASZoC-fRAwm-k3gxmZ3GB95uw6FeTAsIKZDTknUZ9QUJHvY31h4Q5MSEM6CcEOyPZT0p0-qrAlq_X2n3cWADtA5n0vxA"" height=""200"" width=""auto"" /><br><br>西武鉄道新宿線新井薬師前駅の南、上高田3丁目にひときわ目立つ竹の垣根が続くお屋敷があります。ここが「たきび」の歌の発祥地で、「かきねの かきねの まがりかど」という歌詞そのままの世界が残っています。作詞した巽聖歌（たつみせいか）がこの付近に住み、近隣を散歩しながら作詞したと考えられています。",35.7141536,139.6744412
桜ケ池不動尊,"<img src=""https://lh5.googleusercontent.com/sJiEyt_m5yvG2BkzHYXT-Diwbk3ZAzl25n5YzgxG3FIcbrjOGCGEfFE7QKlau-xh0hCJsecOVWjEp5BP_GzuAPy9FigZtPxZavXGsb9SSqkuO61_LzTYKlfo5g7emZ0"" height=""200"" width=""auto"" /><br><br>古くから湧出する清水と不動様で、村人たちに大切に守られてきました。",35.7147906,139.6771047
東光寺,"<img src=""https://lh4.googleusercontent.com/FnvXZyqY-H_cX_l0C0_YxqKplfue5449Wicn_xdIdIxc6ozwTqifMfB1GRY5vwsuy-w1d0oiE5ItB7L6p8sIArS7qLQL-JtvUEAuMc4JkbCkPPNTWa736aOrc3hUfGs"" height=""200"" width=""auto"" /><br><br>上高田の農民の菩提寺として、江戸初期に創建されたと伝えられる寺院です。",35.7174322,139.6765387
新井薬師前駅,"<img src=""https://lh4.googleusercontent.com/A_kq-8RqE0d6_BzmyUYzs8pF_AHzLfAeX9vzm4uhTSVdJs2Jvwdz3YcPQhQqfQZw0glObAAUAjr2GKLI0jDBVUD42UbKSaxDMwTR7nrFtUERbSmMgHM_bJlHmDgb-Lw"" height=""200"" width=""auto"" /><br><br>",35.7158141,139.6725449
ゴール,,35.7162257,139.6713808
青原寺　朱楽菅公の墓,,35.7095739,139.6803941
源通寺　河竹黙阿弥の墓,,35.7090439,139.6799238
高徳寺　新井白石の墓,,35.7088982,139.6794157
松源寺,,35.7085878,139.6778914
宗清寺,,35.7085595,139.6773338
保善寺,,35.7086868,139.6768521
龍昌寺,,35.7078766,139.6774353
境妙寺,,35.712207,139.679645
上高田氷川神社,,35.714954,139.676304
薬師の大番,"<img src=""https://lh4.googleusercontent.com/AC8RMBiPbTfNVt43ea4UfwsQlXipgS2rJJjThKvNDcxCgF-LQkhEzaBv74NrcLmkedlfAi_tbyAZrOiLhU2QaBG79FUk5bzw0UK9oY_Y0P-iROcYV1zYRZrzOaPiEb-u"" height=""200"" width=""auto"" /><br><br>新井薬師前駅の前に開店して33年。一番人気はラーメン「コテ丸」。背脂は濃厚なのに後味スッキリ！中細麺の美味しい一杯を提供しています。",35.715826,139.671573
かきもち処はやしや,"<img src=""https://lh5.googleusercontent.com/cfS6HyrbNgm_-hnULDNGglwSnOYhcYfNDyPQm37wwn21YvP6O01dOfCL7p3zRWuBmpDt_4x_-gwF_d-QTnr9loPmsMDQxSPMHmK7MKVmlSYGSUrcR7n3fQRq6nKKgT4"" height=""200"" width=""auto"" /><br><br>創業70年の老舗です。人気の「柿の種」は、食感と後味が特徴的。ほどよい辛みとあいまって一度食べたら忘れられない逸品です。",35.7064284,139.6825334
青山公園,https://www.tokyo-park.or.jp/park/format/index080.html,35.669221,139.71899
赤塚公園,https://www.tokyo-park.or.jp/park/format/index005.html,35.785082,139.656443
秋留台公園,https://www.tokyo-park.or.jp/park/format/index053.html,35.729277,139.300309
井の頭恩賜公園,http://www.kensetsu.metro.tokyo.jp/jimusho/seibuk/inokashira/index.html,35.700663,139.574548
井の頭自然文化園,http://www.tokyo-zoo.net/zoo/ino/<br>入園料がかかります,35.701161,139.57114
上野恩賜公園,http://www.kensetsu.metro.tokyo.jp/jimusho/toubuk/ueno/index_top.html,35.715347,139.773991
宇喜田公園,http://tokyo-eastpark.com/ukita/,35.67443,139.860596
浮間公園,https://www.tokyo-park.or.jp/park/format/index009.html,35.794825,139.692881
大泉中央公園,https://www.tokyo-park.or.jp/park/format/index011.html,35.774616,139.597727
大神山公園,https://www.tokyo-park.or.jp/park/format/index097.html,27.093996,142.192476
大島小松川公園,http://tokyo-eastpark.com/ohjima/,35.692631,139.850121
大戸緑地,https://tamaparks.com/oto/,35.615931,139.284962
尾久の原公園,http://tokyo-eastpark.com/ogunohara/,35.75173,139.777052
小山内裏公園,https://www.tokyo-park.or.jp/park/format/index064.html,35.606153,139.368209
小山田緑地,https://www.tokyo-park.or.jp/park/format/index063.html,35.596176,139.416352
恩賜上野動物園,http://www.tokyo-zoo.net/zoo/ueno/<br>入園料がかかります,35.716933,139.771103
葛西臨海公園,https://www.tokyo-park.or.jp/park/format/index026.html,35.642267,139.860308
葛西臨海水族園,http://www.tokyo-zoo.net/zoo/kasai/hours.html<br>入園料がかかります,35.640133,139.862095
亀戸中央公園,http://tokyo-eastpark.com/kameido/,35.69991,139.838449
砧公園,https://www.tokyo-park.or.jp/park/format/index004.html,35.630434,139.620212
木場公園,https://www.tokyo-park.or.jp/park/format/index020.html,35.67643,139.808723
旧岩崎邸庭園,https://www.tokyo-park.or.jp/teien/contents/index035.html<br>入園料がかかります,35.709793,139.767205
旧芝離宮恩賜庭園,https://www.tokyo-park.or.jp/teien/contents/index029.html<br>入園料がかかります,35.655797,139.758051
旧古河庭園,https://www.tokyo-park.or.jp/teien/contents/index034.html<br>入園料がかかります,35.74313,139.746666
清澄庭園,http://teien.tokyo-park.or.jp/contents/index033.html<br>入園料がかかります,35.68068,139.797804
小石川後楽園,https://www.tokyo-park.or.jp/teien/contents/index030.html<br>入園料がかかります,35.704709,139.749581
小金井公園,https://www.tokyo-park.or.jp/park/format/index050.html,35.716572,139.517915
駒沢オリンピック公園,https://www.tokyo-park.or.jp/park/format/index040.html,35.6265,139.661508
小宮公園,https://tamaparks.com/komiya/,35.673243,139.340813
桜ヶ丘公園,https://www.tokyo-park.or.jp/park/format/index065.html,35.636889,139.460928
狭山・境緑道,http://musashinoparks.com/kouen/sayama/,35.713888,139.539714
